AuthorID,Author,Date,Content,Attachments,Reactions
"706874685144432641","Shiba#2732","2021-09-20T14:15:08.0790000-04:00","2. Arc#0001 : 64307404333907968 (Breach of Agreement)","","🇫 (64),🇮 (61),🇷 (59),🇸 (59),🇹 (59),🇴 (49),🇳 (48),🇪 (50),catBlushy (28),aPES_LulExplode (16),SA_indeed (15),PES3_HappyHeart (14),SA_KeKw (9),🤣 (10),💀 (11),10xsuckmydick (11),pepebongo (8),💎 (7),drink (2),👳‍♂️ (2)"
"706874685144432641","Shiba#2732","2021-09-20T14:15:08.6950000-04:00","7. Deleted User 919f20f2#4102 : 88406191759196160 (None)","","🇸 (7),🇪 (7),🇨 (7),🇴 (6),🇳 (7),🇩 (7)"
"706874685144432641","Shiba#2732","2021-09-20T14:15:09.0210000-04:00","9. Deleted User b60dd58b#8642 : 95736593582653440 (None)","","🇹 (5),🇭 (5),🇮 (5),🇷 (4),🇩 (5)"
"706874685144432641","Shiba#2732","2021-09-20T14:15:09.3910000-04:00","10. Deleted User c1f16d92#2342 : 106551737636126720 (None)","","🇫 (5),🇴 (5),🇺 (5),🇷 (5),🇹 (5),🇭 (4)"
"706874685144432641","Shiba#2732","2021-09-20T14:15:09.7070000-04:00","11. Deleted User 75bfa0db#5719 : 109320625566330880 (None)","","f_ (5),🇮 (5),🇫 (5),🇹 (5),🇭 (5)"
"706874685144432641","Shiba#2732","2021-09-20T14:15:13.2750000-04:00","12. Moby Crypt#1260 : 110961099091771392 (Breach of agreement)","","🇸 (5),🇮 (5),🇽 (5),🇹 (5),🇭 (5)"
"706874685144432641","Shiba#2732","2021-09-20T14:15:13.5870000-04:00","13. Deleted User 9ca87a27#2483 : 119984856359895041 (Breach of Agreement)","",""
"706874685144432641","Shiba#2732","2021-09-20T14:15:13.8380000-04:00","14. baller#1610 : 129761574805045258 (None)","",""
"706874685144432641","Shiba#2732","2021-09-20T14:15:14.1620000-04:00","15. i love milfs#5030 : 137765217689010176 (None)","",""
"706874685144432641","Shiba#2732","2021-09-20T14:15:14.4500000-04:00","16. Figgy#1234 : 141202450408275968 (Alt of 821284295149748244)","",""
"706874685144432641","Shiba#2732","2021-09-20T14:15:18.4500000-04:00","17. Deleted User 3b68ffa7#2103 : 141895491456598016 (None)","",""
"706874685144432641","Shiba#2732","2021-09-20T14:15:18.6770000-04:00","18. Deleted User 6a48d535#7144 : 145571831502471169 (None)","",""
"706874685144432641","Shiba#2732","2021-09-20T14:15:18.9610000-04:00","19. Deleted User 18996820#5487 : 145582008825937921 (None)","",""
"706874685144432641","Shiba#2732","2021-09-20T14:15:19.2220000-04:00","20. Deleted User 70c17562#5999 : 153191132958949376 (None)","",""
"706874685144432641","Shiba#2732","2021-09-20T14:15:19.4050000-04:00","21. DADA#3000 : 158029574192496641 (Breach of Agreement)","",""
"706874685144432641","Shiba#2732","2021-09-20T14:15:23.6480000-04:00","22. Ka#0069 : 158079296479428608 (Breach of Agreement | Nitro Scam)","",""
"706874685144432641","Shiba#2732","2021-09-20T14:15:23.9840000-04:00","23. v_v#2488 : 158661277378412544 (Alt of 550298935286038548 | Nitro Scam | BOA)","",""
"706874685144432641","Shiba#2732","2021-09-20T14:15:24.2250000-04:00","24. Bl4ck#6076 : 160854292994064384 (Breach of Agreement)","",""
"706874685144432641","Shiba#2732","2021-09-20T14:15:24.4710000-04:00","25. Deleted User 911dde58#4272 : 169276361414934528 (None)","",""
"706874685144432641","Shiba#2732","2021-09-20T14:15:24.7330000-04:00","26. Erikoy#6126 : 170382749406986240 (Alt of 824597236470120458)","",""
"706874685144432641","Shiba#2732","2021-09-20T14:15:28.7730000-04:00","27. ziqp#1555 : 171474435730046977 (None)","",""
"706874685144432641","Shiba#2732","2021-09-20T14:15:29.0070000-04:00","28. Deleted User cff0045e#8087 : 174364404391870466 (None)","",""
"706874685144432641","Shiba#2732","2021-09-20T14:15:29.2840000-04:00","29. Deleted User 63bdbb48#6540 : 175392930985410560 (Breach of Agreement.)","",""
"706874685144432641","Shiba#2732","2021-09-20T14:15:29.6400000-04:00","30. YungMugy#5570 : 177224481725612032 (None)","",""
"706874685144432641","Shiba#2732","2021-09-20T14:15:37.9390000-04:00","31. abs#0782 : 178488214422552576 (Breach of Agreement)","",""
"706874685144432641","Shiba#2732","2021-09-20T14:15:38.2620000-04:00","32. Deleted User cf8e3452#7376 : 179385868484739075 (Breach of Agreement/Self-Admittance)","",""
"706874685144432641","Shiba#2732","2021-09-20T14:15:38.6850000-04:00","33. Connor#0001 : 182191185295572992 (None)","",""
"706874685144432641","Shiba#2732","2021-09-20T14:15:38.9310000-04:00","34. Fuzzy_Cookies#3366 : 183350740209762305 (None)","",""
"706874685144432641","Shiba#2732","2021-09-20T14:15:39.1550000-04:00","35. Roh#5134 : 183910507810390016","",""
"706874685144432641","Shiba#2732","2021-09-20T14:15:43.1670000-04:00","36. Dann#3326 : 184356712550105088 ((Breach of Agreement))","",""
"706874685144432641","Shiba#2732","2021-09-20T14:15:43.4480000-04:00","37. ! SJ2#1337 : 186437063950729216 ((Nitro Scam | Breach of Agreement))","",""
"706874685144432641","Shiba#2732","2021-09-20T14:15:43.6500000-04:00","38. Classy#1969 : 190385059449012225 (Alt of 550298935286038548)","",""
"706874685144432641","Shiba#2732","2021-09-20T14:15:43.8910000-04:00","39. Deleted User f79059ac#3923 : 196563002001063936 (None)","",""
"706874685144432641","Shiba#2732","2021-09-20T14:15:44.1660000-04:00","40. Deleted User f5e13061#1174 : 200637376714768385 (Breach of Agreement)","",""
"706874685144432641","Shiba#2732","2021-09-20T14:15:48.4070000-04:00","41. Deleted User de82aae1#6344 : 202558977760821249 (None)","",""
"706874685144432641","Shiba#2732","2021-09-20T14:15:48.6190000-04:00","42. Kamal#3983 : 204614007573708801","",""
"706874685144432641","Shiba#2732","2021-09-20T14:15:49.2220000-04:00","43. Deleted User 202e9a50#1051 : 204661811662815232 (None)","",""
"706874685144432641","Shiba#2732","2021-09-20T14:15:49.4780000-04:00","44. Deleted User 94b55426#9210 : 205495355586904064 (None)","",""
"706874685144432641","Shiba#2732","2021-09-20T14:15:49.7780000-04:00","45. Deleted User 7321dc0b#4507 : 207950995995623435 (None)","",""
"706874685144432641","Shiba#2732","2021-09-20T14:15:53.5660000-04:00","46. Jamie#6730 : 209659722079535106 (None)","",""
"706874685144432641","Shiba#2732","2021-09-20T14:15:53.8000000-04:00","47. DiasS#3715 : 209760805997117440 (None)","",""
"706874685144432641","Shiba#2732","2021-09-20T14:15:54.0760000-04:00","48. Clarrt#2283 : 211164303234039809 (None)","",""
"706874685144432641","Shiba#2732","2021-09-20T14:15:54.2920000-04:00","49. symere#9999 : 213078854296797184 (None)","",""
"706874685144432641","Shiba#2732","2021-09-20T14:15:54.6150000-04:00","50. Deleted User 4e476930#5179 : 213721777585520642 (None)","",""
"706874685144432641","Shiba#2732","2021-09-20T14:15:58.8120000-04:00","51. Komrad#0248 : 214861656784633856 (None)","",""
"706874685144432641","Shiba#2732","2021-09-20T14:15:59.1440000-04:00","52. ericc#6488 : 217150830766194698 (Breach of agreement.)","",""
"706874685144432641","Shiba#2732","2021-09-20T14:15:59.4370000-04:00","53. Hiding#8999 : 217920794666205186 (None)","",""
"706874685144432641","Shiba#2732","2021-09-20T14:15:59.9170000-04:00","54. Monkey The Dev#6666 : 218069093301878785 (Breach of Agreement)","",""
"706874685144432641","Shiba#2732","2021-09-20T14:16:00.3300000-04:00","55. Inquest#1729 : 219854073241927690 (None)","",""
"706874685144432641","Shiba#2732","2021-09-20T14:16:03.9350000-04:00","56. Deleted User c1f4fe27#0099 : 219922952584560642 (None)","",""
"706874685144432641","Shiba#2732","2021-09-20T14:16:04.1920000-04:00","57. Deleted User 2fe08bd1#3536 : 220502301171777538 (None)","",""
"706874685144432641","Shiba#2732","2021-09-20T14:16:04.4480000-04:00","58. Deleted User e40bffd3#3984 : 222032495447638028 (None)","",""
"706874685144432641","Shiba#2732","2021-09-20T14:16:04.7620000-04:00","59. Jossh#4285 : 222037144267390977 (None)","",""
"706874685144432641","Shiba#2732","2021-09-20T14:16:05.0410000-04:00","60. Cardzv#2052 : 222465843806732289 (None)","",""
"706874685144432641","Shiba#2732","2021-09-20T14:16:09.0780000-04:00","61. Michael05#4884 : 222773545384542208","",""
"706874685144432641","Shiba#2732","2021-09-20T14:16:09.3420000-04:00","62. untouchyy#0015 : 223888711446691842 (None)","",""
"706874685144432641","Shiba#2732","2021-09-20T14:16:09.5830000-04:00","63. mochii#3698 : 224132464023568384 (None)","",""
"706874685144432641","Shiba#2732","2021-09-20T14:16:10.1440000-04:00","64. „$$$”#7303 : 226781098653253633 (None)","",""
"706874685144432641","Shiba#2732","2021-09-20T14:16:10.4960000-04:00","65. Deleted User b8e6288a#3507 : 230104234748542977 (None)","",""
"706874685144432641","Shiba#2732","2021-09-20T14:16:14.2230000-04:00","66. khosty#9938 : 230349171591217154 (None)","",""
"706874685144432641","Shiba#2732","2021-09-20T14:16:14.5040000-04:00","67. Ayis#8370 : 231512253910876160 (None)","",""
"706874685144432641","Shiba#2732","2021-09-20T14:16:14.7840000-04:00","68. SNOT#9999 : 232994302551130114 (Snot Alt)","",""
"706874685144432641","Shiba#2732","2021-09-20T14:16:15.0340000-04:00","69. Jorji Costava#9121 : 233289365374107658 (None)","","🕕 (2),🕘 (2),🇳 (5),🇮 (5),🇨 (5),🇪 (5),💯 (1)"
"706874685144432641","Shiba#2732","2021-09-20T14:16:15.3310000-04:00","70. Deleted User 5e5bec1a#7606 : 234389177410650112 (None)","",""
"706874685144432641","Shiba#2732","2021-09-20T14:16:19.4200000-04:00","71. Deleted User 37a7b5fe#1461 : 234417622853222410 (Alt of Denne: 717792312138137650)","",""
"706874685144432641","Shiba#2732","2021-09-20T14:16:19.7880000-04:00","72. Awpy#0557 : 234582258567086080 (Breach of Agreement)","",""
"706874685144432641","Shiba#2732","2021-09-20T14:16:20.1130000-04:00","73. Deleted User 776cc045#4810 : 234713609169534977 (None)","",""
"706874685144432641","Shiba#2732","2021-09-20T14:16:20.2830000-04:00","74. $$RaKetuta69$$#2813 : 235794634809278464 (Nitro Scam)","",""
"706874685144432641","Shiba#2732","2021-09-20T14:16:20.7230000-04:00","75. Deleted User 941a8fdf#2284 : 236218427134574593 (None)","",""
"706874685144432641","Shiba#2732","2021-09-20T14:16:24.5750000-04:00","76. bohls#9012 : 236568040794357781 (None)","",""
"706874685144432641","Shiba#2732","2021-09-20T14:16:24.8930000-04:00","77. swatted#3691 : 236880239312109568 ((Breach of Agreement))","",""
